seconds,minutes,temperature,log,real_k
2611,43.5166666666667,44.437,3.065,0.0293838457483267
2612,43.5333333333333,44.5,3.1,0.0293051872906601
2613,43.55,44.437,3.065,0.0293613552425875
2614,43.5666666666667,44.437,3.065,0.0293501228955169
2615,43.5833333333333,44.437,3.065,0.0293388991391515
2616,43.6,44.437,3.065,0.0293276839636396
2617,43.6166666666667,44.437,3.065,0.0293164773591445
2618,43.6333333333333,44.437,3.065,0.0293052793158446
2619,43.65,44.437,3.065,0.0292940898239332
2620,43.6666666666667,44.437,3.065,0.0292829088736187
2621,43.6833333333333,44.437,3.065,0.0292717364551244
2622,43.7,44.437,3.065,0.0292605725586884
2623,43.7166666666667,44.375,3.062,0.029315670767004
2624,43.7333333333333,44.375,3.062,0.0293044986363764
2625,43.75,44.375,3.062,0.0292933350178482
2626,43.7666666666667,44.375,3.062,0.0292821799016952
2627,43.7833333333333,44.312,3.059,0.0293384498095708
2628,43.8,44.375,3.062,0.0292598951376909
2629,43.8166666666667,44.375,3.062,0.0292487654704646
2630,43.8333333333333,44.375,3.062,0.0292376442668637
2631,43.85,44.312,3.059,0.0292938455529237
2632,43.8666666666667,44.312,3.059,0.0292827156723945
2633,43.8833333333333,44.312,3.059,0.0292715942460093
2634,43.9,44.312,3.059,0.0292604812641391
2635,43.9166666666667,44.312,3.059,0.0292493767171697
2636,43.9333333333333,44.312,3.059,0.0292382805955017
2637,43.95,44.25,3.06,0.0292934818312459
2638,43.9666666666667,44.312,3.059,0.0292161135897431
2639,43.9833333333333,44.312,3.059,0.0292050426865261
2640,44,44.25,3.06,0.0292601937837104
2641,44.0166666666667,44.25,3.06,0.0292491145736446
2642,44.0333333333333,44.25,3.06,0.0292380437505661
2643,44.05,44.25,3.06,0.0292269813049548
2644,44.0666666666667,44.25,3.06,0.0292159272273054
2645,44.0833333333333,44.25,3.06,0.0292048815081269
2646,44.1,44.25,3.06,0.0291938441379424
2647,44.1166666666667,44.25,3.06,0.0291828151072895
2648,44.1333333333333,44.25,3.06,0.0291717944067204
2649,44.15,44.25,3.06,0.0291607820268009
2650,44.1666666666667,44.187,3.053,0.029217003074978
2651,44.1833333333333,44.187,3.053,0.029205981949714
2652,44.2,44.187,3.053,0.0291949691360075
2653,44.2166666666667,44.187,3.053,0.0291839646244598
2654,44.2333333333333,44.187,3.053,0.0291729684056865
2655,44.25,44.187,3.053,0.0291619804703171
2656,44.2666666666667,44.125,3.050,0.0292172044113805
2657,44.2833333333333,44.125,3.050,0.0292062080980906
2658,44.3,44.125,3.050,0.0291952200589266
2659,44.3166666666667,44.125,3.050,0.0291842402845531
2660,44.3333333333333,44.125,3.050,0.0291732687656492
2661,44.35,44.125,3.050,0.0291623054929075
2662,44.3666666666667,44.125,3.050,0.0291513504570348
2663,44.3833333333333,44.125,3.050,0.0291404036487521
2664,44.4,44.062,3.047,0.0291967331733171
2665,44.4166666666667,44.125,3.050,0.0291185346779087
2666,44.4333333333333,44.125,3.050,0.0291076124968593
2667,44.45,44.062,3.047,0.0291638909537745
2668,44.4666666666667,44.062,3.047,0.0291529599601637
2669,44.4833333333333,44.062,3.047,0.0291420371576309
2670,44.5,44.062,3.047,0.0291311225369726
2671,44.5166666666667,44.062,3.047,0.0291202160889991
2672,44.5333333333333,44.062,3.047,0.0291093178045347
2673,44.55,44.062,3.047,0.029098427674417
2674,44.5666666666667,44.062,3.047,0.0290875456894976
2675,44.5833333333333,44.0,3.0,0.0291427959057255
2676,44.6,44.062,3.047,0.0290658061187282
2677,44.6166666666667,44.062,3.047,0.0290549485146495
2678,44.6333333333333,44.062,3.047,0.0290440990193117
2679,44.65,44.062,3.047,0.0290332576236345
2680,44.6666666666667,44.0,3.0,0.0290884250178416
2681,44.6833333333333,44.0,3.0,0.029077575176358
2682,44.7,44.062,3.047,0.029000781943966
2683,44.7166666666667,44.0,3.0,0.0290558997569197
2684,44.7333333333333,44.0,3.0,0.0290450741608851
2685,44.75,44.0,3.0,0.0290342566286092
2686,44.7666666666667,44.0,3.0,0.0290234471510855
2687,44.7833333333333,44.0,3.0,0.0290126457193211
2688,44.8,43.937,3.042,0.029068917257825
2689,44.8166666666667,44.0,3.0,0.0289910669571646
2690,44.8333333333333,44.0,3.0,0.0289802896088534
2691,44.85,43.937,3.042,0.0290365104381396
2692,44.8666666666667,44.0,3.0,0.0289587589330667
2693,44.8833333333333,43.937,3.042,0.0290149460040972
2694,44.9,43.937,3.042,0.0290041757939991
2695,44.9166666666667,43.937,3.042,0.0289934135766358
2696,44.9333333333333,43.937,3.042,0.0289826593431134
2697,44.95,43.937,3.042,0.0289719130845508
2698,44.9666666666667,43.937,3.042,0.0289611747920806
2699,44.9833333333333,43.875,3.039,0.0290163723849596
2700,45,43.875,3.039,0.0290056255803725
2701,45.0166666666667,43.875,3.039,0.0289948867334342
2702,45.0333333333333,43.875,3.039,0.0289841558353094
2703,45.05,43.875,3.039,0.0289734328771757
2704,45.0666666666667,43.875,3.039,0.028962717850224
2705,45.0833333333333,43.875,3.039,0.0289520107456584
2706,45.1,43.875,3.039,0.0289413115546954
2707,45.1166666666667,43.875,3.039,0.0289306202685651
2708,45.1333333333333,43.875,3.039,0.0289199368785103
2709,45.15,43.812,3.036,0.0289762055022287
2710,45.1666666666667,43.875,3.039,0.0288985937516627
2711,45.1833333333333,43.812,3.036,0.0289548287368269
2712,45.2,43.812,3.036,0.0289441521775581
2713,45.2166666666667,43.812,3.036,0.028933483488956
2714,45.2333333333333,43.812,3.036,0.0289228226623204
2715,45.25,43.812,3.036,0.0289121696889641
2716,45.2666666666667,43.812,3.036,0.0289015245602126
2717,45.2833333333333,43.75,3.03,0.028956772363128
2718,45.3,43.812,3.036,0.0288802578018902
2719,45.3166666666667,43.812,3.036,0.028869636155034
2720,45.3333333333333,43.75,3.03,0.028924834746551
2721,45.35,43.75,3.03,0.0289142045242994
2722,45.3666666666667,43.75,3.03,0.0289035821126446
2723,45.3833333333333,43.75,3.03,0.0288929675029815
2724,45.4,43.75,3.03,0.0288823606867175
2725,45.4166666666667,43.75,3.03,0.0288717616552729
2726,45.4333333333333,43.75,3.03,0.0288611704000802
2727,45.45,43.75,3.03,0.0288505869125847
